old_cpp_name,section,key,default,cpp_type,special_case,notes
property_setAB_lineLength,ab,lineLength,1600,double,,
property_setArdMac_hydLowerTime,ardMac,hydLowerTime,4,int,,
property_setArdMac_hydRaiseTime,ardMac,hydRaiseTime,3,int,,
property_setArdMac_isDanfoss,ardMac,isDanFoss,false,bool,,
property_setArdMac_isHydEnabled,ardMac,isHydEnabled,0,bool,,
property_setArdMac_setting0,ardMac,setting0,0,int,,
property_setArdMac_user1,ardMac,user1,1,int,,
property_setArdMac_user2,ardMac,user2,2,int,,
property_setArdMac_user3,ardMac,user3,3,int,,
property_setArdMac_user4,ardMac,user4,4,int,,
property_setArdSteer_maxPulseCounts,ardSteer,maxPulseCounts,3,int,,
property_setArdSteer_maxSpeed,ardSteer,maxSpeed,20,double,,Does not appear to be used
property_setArdSteer_minSpeed,ardSteer,minSpeed,0,double,,Does not appear to be used
property_setArdSteer_setting0,ardSteer,setting0,56,int,,
property_setArdSteer_setting1,ardSteer,setting1,0,int,,
property_setArdSteer_setting2,ardSteer,setting2,0,int,,
property_setAS_ackerman,as,ackerman,100,int,,
property_setAS_countsPerDegree,as,countsPerDegree,110,int,,
property_setAS_deadZoneDelay,as,deadZoneDelay,5,int,,
property_setAS_deadZoneDistance,as,deadZoneDistance,1,int,,
property_setAS_deadZoneHeading,as,deadZoneHeading,10,int,,
property_setAS_functionSpeedLimit,as,functionSpeedLimit,12,int,,
property_setAS_guidanceLookAheadTime,as,guidanceLookAheadTime,1.5,double,,
property_setAS_highSteerPWM,as,highSteerPWM,180,int,,
property_setAS_isAutoSteerAutoOn,as,isAutoSteerAutoOn,false,bool,,
property_setAS_isConstantContourOn,as,isConstantContourOn,false,bool,,
property_setAS_isSteerInReverse,as,isSteerInReverse,false,bool,,
property_setAS_Kp,as,Kp,50,int,,
property_setAS_lowSteerPWM,as,lowSteerPWM,30,int,,
property_setAS_maxSteerSpeed,as,maxSteerSpeed,15,double,,
property_setAS_minSteerPWM,as,minSteerPWM,25,int,,
property_setAS_minSteerSpeed,as,minSteerSpeed,0,double,,
property_setAS_ModeMultiplierStanley,as,modeMultiplierStanley,0.6,double,,
property_setAS_ModeTime,as,modeTime,1,int,,
property_setAS_ModeXTE,as,modeXTE,0.1,double,,
property_setAS_numGuideLines,as,numGuideLines,10,int,,
property_setAS_sideHillComp,as,sideHillCompensation,0,double,,
property_setAS_snapDistance,as,snapDistance,20,double,,
property_setAS_snapDistanceRef,as,snapDistanceRef,5,double,,
property_setAS_uTurnCompensation,as,uTurnCompensation,1,double,,
property_setAS_uTurnSmoothing,as,uTurnSmoothing,14,int,,
property_setAS_wasOffset,as,wasOffset,3,double,,
property_setBnd_isDrawPivot,bnd,isDrawPivot,true,bool,,
property_setBrand_HBrand,brand,HBrand,"AgOpenGPS",QString,,
property_setBrand_TBrand,brand,TBrand,"AGOpenGPS",QString,,
property_setBrand_WDBrand,brand,WDBrand,"AgOpenGPS",QString,,
property_setCam_CamLink,cam,camLink,QString("rtsp://192.168.0.138:1945"),QString,,
property_setColor_isMultiColorSections,color,isMultiColorSections,false,bool,,
property_setColor_sec01,color,sec01,'QColor(249, 22, 10)',QColor,,
property_setColor_sec02,color,sec02,'QColor(68, 84, 254)',QColor,,
property_setColor_sec03,color,sec03,'QColor(8, 243, 8)',QColor,,
property_setColor_sec04,color,sec04,'QColor(233, 6, 233)',QColor,,
property_setColor_sec05,color,sec05,'QColor(200, 191, 86)',QColor,,
property_setColor_sec06,color,sec06,'QColor(0, 252, 246)',QColor,,
property_setColor_sec07,color,sec07,'QColor(144, 36, 246)',QColor,,
property_setColor_sec08,color,sec08,'QColor(232, 102, 21)',QColor,,
property_setColor_sec09,color,sec09,'QColor(255, 160, 170)',QColor,,
property_setColor_sec10,color,sec10,'QColor(205, 204, 246)',QColor,,
property_setColor_sec11,color,sec11,'QColor(213, 239, 190)',QColor,,
property_setColor_sec12,color,sec12,'QColor(247, 200, 247)',QColor,,
property_setColor_sec13,color,sec13,'QColor(253, 241, 144)',QColor,,
property_setColor_sec14,color,sec14,'QColor(187, 250, 250)',QColor,,
property_setColor_sec15,color,sec15,'QColor(227, 201, 249)',QColor,,
property_setColor_sec16,color,sec16,'QColor(247, 229, 215)',QColor,,
property_displayAntiAliasSamples,display,antiAliasSamples,0,int,,
property_setDisplay_isAutoDayNight,display,autoDayNight,false,bool,,
property_setDisplay_brightness,display,brightness,40,int,,
property_setDisplay_brightnessSystem,display,brightnessSystem,40,int,,
property_setDisplay_buttonOrder,display,buttonOrder,'"0,1,2,3,4,5,6,7"',QString,,
property_setDisplay_camPitch,display,camPitch,-62,double,,
property_setDisplay_camSmooth,display,camSmooth,50,double,,
property_setDisplay_camZoom,display,camZoom,9,double,,
property_setDisplay_colorDayBackground,display,colorDayBackground,'QColor::fromRgb(245, 245, 245)',QColor,,
property_setDisplay_colorDayBorder,display,colorDayBorder,'QColor::fromRgb(215, 228, 242)',QColor,,
property_setDisplay_colorDayFrame,display,colorDayFrame,'QColor(210, 210, 230)',QColor,,
property_setDisplay_colorFieldDay,display,colorFieldDay,'QColor(145, 145, 145)',QColor,,
property_setDisplay_colorFieldNight,display,colorFieldNight,'QColor(60, 60, 60)',QColor,,
property_setDisplay_colorNightBackground,display,colorNightBackground,'QColor::fromRgb(50, 50, 65)',QColor,,
property_setDisplay_colorNightBorder,display,colorNightBorder,'QColor::fromRgb(210, 210, 230)',QColor,,
property_setDisplay_colorNightFrame,display,colorNightFrame,'QColor(50, 50, 65)',QColor,,
property_setDisplay_colorSectionsDay,display,colorSectionsDay,'QColor(27, 151, 160)',QColor,,
property_setDisplay_colorSectionsNight,display,colorSectionsNight,'QColor(27, 100, 100)',QColor,,
property_setDisplay_colorTextDay,display,colorTextDay,QColor("Black"),QColor,,
property_setDisplay_colorTextNight,display,colorTextNight,'QColor(230, 230, 230)',QColor,,
property_setDisplay_colorVehicle,display,colorVehicle,QColor("White"),QColor,,
property_setDisplay_customColors,display,customColors,'"-62208,-12299010,-16190712,-1505559,-3621034,-16712458,-7330570,-1546731,-24406,-3289866,-2756674,-538377,-134768,-4457734,-1848839,-530985"',QString,,
property_setDisplay_customSectionColors,display,customSectionColors,'"-62208,-12299010,-16190712,-1505559,-3621034,-16712458,-7330570,-1546731,-24406,-3289866,-2756674,-538377,-134768,-4457734,-1848839,-530985"',QString,,
property_setFeatures,display,features,"",QString,,
